Date,Close,High,Low,Open,Volume,MA_20,MA_50
2025-01-02,109.38999938964844,109.52999877929688,108.2699966430664,108.52999877929688,0,109.38999938964844,109.38999938964844
2025-01-03,108.94999694824219,109.22000122070312,108.9000015258789,109.19999694824219,0,109.16999816894531,109.16999816894531
2025-01-06,108.26000213623047,109.06999969482422,107.75,108.91999816894531,0,108.86666615804036,108.86666615804036
2025-01-07,108.54000091552734,108.69999694824219,107.8499984741211,108.33999633789062,0,108.78499984741211,108.78499984741211
2025-01-08,109.08999633789062,109.37999725341797,108.55000305175781,108.62000274658203,0,108.84599914550782,108.84599914550782
2025-01-09,109.18000030517578,109.37999725341797,108.94000244140625,109.08999633789062,0,108.90166600545247,108.90166600545247
2025-01-10,109.6500015258789,109.97000122070312,109.08000183105469,109.2300033569336,0,109.00857107979911,109.00857107979911
2025-01-13,109.95999908447266,110.18000030517578,109.41000366210938,109.63999938964844,0,109.1274995803833,109.1274995803833
2025-01-14,109.2699966430664,109.76000213623047,109.18000030517578,109.56999969482422,0,109.14333258734808,109.14333258734808
2025-01-15,109.08999633789062,109.37999725341797,108.5999984741211,109.2300033569336,0,109.13799896240235,109.13799896240235
2025-01-16,108.95999908447266,109.37999725341797,108.83000183105469,109.06999969482422,0,109.12181715531783,109.12181715531783
2025-01-17,109.3499984741211,109.41999816894531,108.83000183105469,108.93000030517578,0,109.1408322652181,109.1408322652181
2025-01-21,108.05999755859375,108.79000091552734,107.91999816894531,107.9800033569336,0,109.0576911339393,109.0576911339393
2025-01-22,108.16999816894531,108.2699966430664,107.75,107.98999786376953,0,108.99428449358258,108.99428449358258
2025-01-23,108.05000305175781,108.51000213623047,107.91999816894531,108.25,0,108.93133239746093,108.93133239746093
2025-01-24,107.44000244140625,108.19000244140625,107.22000122070312,108.08999633789062,0,108.83812427520752,108.83812427520752
2025-01-27,107.33999633789062,107.80999755859375,106.97000122070312,107.47000122070312,0,108.74999910242417,108.74999910242417
2025-01-28,107.87000274658203,108.05000305175781,107.69000244140625,107.70999908447266,0,108.7011104159885,108.7011104159885
2025-01-29,108.0,108.30000305175781,107.75,107.88999938964844,0,108.66420986777858,108.66420986777858
2025-01-30,107.80000305175781,108.23999786376953,107.5,107.86000061035156,0,108.62099952697754,108.62099952697754
2025-01-31,108.37000274658203,108.56999969482422,107.79000091552734,108.16000366210938,0,108.56999969482422,108.60904729933966
2025-02-03,108.98999786376953,109.87999725341797,108.33999633789062,108.5,0,108.57199974060059,108.62636323408647
2025-02-04,107.95999908447266,109.04000091552734,107.91999816894531,108.68000030517578,0,108.5569995880127,108.59739087975544
2025-02-05,107.58000183105469,108.01000213623047,107.30000305175781,108.01000213623047,0,108.50899963378906,108.5549996693929
2025-02-06,107.69000244140625,108.0999984741211,107.54000091552734,107.62000274658203,0,108.43899993896484,108.52039978027344
2025-02-07,108.04000091552734,108.31999969482422,107.5199966430664,107.69999694824219,0,108.38199996948242,108.50192290086012
2025-02-10,108.31999969482422,108.44000244140625,108.08999633789062,108.0999984741211,0,108.31549987792968,108.49518500434027
2025-02-11,107.95999908447266,108.45999908447266,107.77999877929688,108.33999633789062,0,108.21549987792969,108.47607122148786
2025-02-12,107.94000244140625,108.5199966430664,107.62999725341797,108.01000213623047,0,108.14900016784668,108.45758609114021
2025-02-13,107.30999755859375,108.0,107.02999877929688,107.91999816894531,0,108.06000022888183,108.41933314005534
